	original_idx	pairID	ancestor	descendant	TREEDIST_anc-to-root	TREEDIST_desc-to-root	TREEDIST_stem-to-Root	TREEDIST_anc-to-desc	perc_seq_id	pfam	pfam_Nseqs	type	clan	anc_seq_len	desc_seq_len	alignment_len	num_matches	num_ins	num_del
191	114651	FW_PT2_PID006860	Q6FIT8_CANGA/7-133	H2B1B2_KAZAF/7-131	2.32848	1.8252	1.60138	0.95092	0.552	PF01900	194	Family	CL0734	127	125	130	122	3	5
192	114652	FW_PT2_PID006861	A7TRK3_VANPO/7-135	G9A057_TORDC/7-134	1.71379	1.73419	1.43703	0.57392	0.6640625	PF01900	194	Family	CL0734	129	128	132	125	3	4
193	114653	FW_PT2_PID006862	W1Q822_OGAPD/7-127	A3LUC3_PICST/7-133	1.6821700000000002	1.38248	0.84244	1.3797700000000002	0.4380165289256198	PF01900	194	Family	CL0734	121	127	132	116	11	5
194	114654	FW_PT2_PID006863	S9VZB4_SCHCR/7-120	POP5_SCHPO/7-120	1.30182	1.29105	1.14767	0.29753	0.7894736842105263	PF01900	194	Family	CL0734	114	114	114	114	0	0
195	114655	FW_PT2_PID006864	S8AGB2_DACHA/7-127	G1XIG8_ARTOA/7-131	1.3764	1.40717	1.1486	0.48637	0.7024793388429752	PF01900	194	Family	CL0734	121	125	125	121	4	0
196	114656	FW_PT2_PID006865	K1WQZ1_MARBU/7-131	N1J6H3_BLUG1/7-132	1.81414	1.81567	1.5354799999999995	0.5588500000000001	0.688	PF01900	194	Family	CL0734	125	126	126	125	1	0
197	114657	FW_PT2_PID006866	V5INT5_NEUCR/7-130	B2B2Y0_PODAN/63-194	1.8493	2.06618	1.6981999999999997	0.51908	0.6935483870967742	PF01900	194	Family	CL0734	124	132	132	124	8	0
198	114658	FW_PT2_PID006867	S3D0Y0_OPHP1/7-136	U7PME3_SPOS1/7-139	1.9789799999999995	1.97014	1.7990699999999995	0.3509799999999999	0.7615384615384615	PF01900	194	Family	CL0734	130	133	133	130	3	0
199	114659	FW_PT2_PID006868	F0XGM2_GROCL/7-129	G2Q2I3_MYCTT/7-131	1.7990899999999994	1.6764799999999995	1.4217299999999995	0.63211	0.6504065040650406	PF01900	194	Family	CL0734	123	125	125	123	2	0
200	114660	FW_PT2_PID006869	G4N5H6_MAGO7/7-130	C9SUL8_VERA1/7-134	1.94345	1.9421399999999995	1.5152799999999995	0.85503	0.5645161290322581	PF01900	194	Family	CL0734	124	128	129	123	5	1
201	114661	FW_PT2_PID006870	C7ZPF9_FUSV7/7-127	G0RLB9_HYPJQ/7-130	1.7943299999999998	1.89179	1.6778799999999998	0.33036	0.7603305785123967	PF01900	194	Family	CL0734	121	124	124	121	3	0
202	114662	FW_PT2_PID006871	N4VE71_COLOR/7-133	J5JY53_BEAB2/7-131	1.76289	1.86157	1.49206	0.64034	0.64	PF01900	194	Family	CL0734	127	125	127	125	0	2
203	114663	FW_PT2_PID006872	C4JPY3_UNCRE/7-159	E9CYS0_COCPS/7-168	2.49017	2.40633	2.2954799999999995	0.30554	0.7320261437908496	PF01900	194	Family	CL0734	153	162	173	142	20	11
204	114664	FW_PT2_PID006873	C5GQT3_AJEDR/7-162	C1GBJ1_PARBD/7-173	2.16767	2.11737	1.99808	0.2888799999999999	0.7564102564102564	PF01900	194	Family	CL0734	156	167	175	148	19	8
205	114665	FW_PT2_PID006874	D4B2R1_ARTBC/7-147	V5FCN4_BYSSN/7-152	2.2856500000000004	1.82478	1.66816	0.7741100000000001	0.6453900709219859	PF01900	194	Family	CL0734	141	146	158	129	17	12
206	114666	FW_PT2_PID006875	K9GY67_PEND2/7-148	S7ZQF7_PENO1/7-156	2.38613	2.36221	2.1317	0.48494	0.7112676056338029	PF01900	194	Family	CL0734	142	150	150	142	8	0
207	114667	FW_PT2_PID006876	A5ABI5_ASPNC/7-153	A1CTV5_ASPCL/7-158	2.12167	2.16779	1.92558	0.4383	0.6938775510204082	PF01900	194	Family	CL0734	147	152	162	137	15	10
208	114668	FW_PT2_PID006877	Q5BAJ3_EMENI/7-158	A0A1S9DXQ9_ASPOZ/7-154	1.97026	1.97387	1.72542	0.49329	0.6959459459459459	PF01900	194	Family	CL0734	152	148	152	148	0	4
209	114669	FW_PT2_PID006878	B6Q7N8_TALMQ/7-152	L8G971_PSED2/7-130	1.69194	1.59156	1.10048	1.08254	0.5483870967741935	PF01900	194	Family	CL0734	146	124	155	115	9	31
210	114670	FW_PT2_PID006879	Q0UIE2_PHANO/7-130	E4ZRS7_LEPMJ/7-138	2.056	2.04267	1.9188	0.2610699999999999	0.8064516129032258	PF01900	194	Family	CL0734	124	132	132	124	8	0
211	114671	FW_PT2_PID006880	R1G626_BOTPV/7-133	E3S526_PYRTT/7-131	1.68674	1.92828	1.43896	0.7371	0.576	PF01900	194	Family	CL0734	127	125	133	119	6	8
212	114672	FW_PT2_PID006881	F9XJR2_ZYMTI/7-137	M3ANJ2_PSEFD/7-133	1.72191	1.83805	1.48987	0.58022	0.6377952755905512	PF01900	194	Family	CL0734	131	127	131	127	0	4
213	114673	FW_PT2_PID006882	N1QDT2_SPHMS/7-157	R7YGK0_CONA1/7-132	1.7971499999999998	1.40191	1.17712	0.8448199999999999	0.5396825396825397	PF01900	194	Family	CL0734	151	126	154	123	3	28
214	114674	FW_PT2_PID006883	H6BL17_EXODN/7-169	D5GJS0_TUBMM/7-124	1.69999	1.31229	0.72776	1.55676	0.4406779661016949	PF01900	194	Family	CL0734	163	118	169	112	6	51
215	114675	FW_PT2_PID006884	L0PGU4_PNEJ8/7-134	M7NL02_PNEMU/7-133	1.71138	1.5752199999999998	1.34604	0.5945199999999999	0.5511811023622047	PF01900	194	Family	CL0734	128	127	146	109	18	19
216	114676	FW_PT2_PID006885	R4XGB2_TAPDE/7-107	B6K530_SCHJY/7-120	2.12951	1.33139	0.60917	2.24256	0.396039603960396	PF01900	194	Family	CL0734	101	114	119	96	18	5
217	114677	FW_PT2_PID006886	V2WWB1_MONRO/7-116	D8PVJ0_SCHCM/3-106	1.64591	1.76756	1.32793	0.75761	0.6057692307692307	PF01900	194	Family	CL0734	110	104	110	104	0	6
218	114678	FW_PT2_PID006887	B0D387_LACBS/7-115	K5VTV7_AGABU/7-118	1.61974	1.64533	1.3153	0.63447	0.6788990825688074	PF01900	194	Family	CL0734	109	112	112	109	3	0
219	114679	FW_PT2_PID006888	M2RAI9_CERS8/7-120	S8DR82_FOMPI/7-122	1.4446499999999998	1.4893799999999997	1.2862999999999998	0.36143	0.7456140350877193	PF01900	194	Family	CL0734	114	116	116	114	2	0
